PlayerId,MLB_Proj_Score
10021,41.16
10028,76.47
10030,61.28
10039,41.4
10047,58.5
10053,65.35
10054,49.12
10058,46.77
10059,48.25
10061,30.26
10065,42.95
10067,67.64
10071,46.63
10099,77.13
10154,60.25
10155,101.84
10160,42.47
10166,59.07
10190,36.62
10197,38.11
10199,67.52
10200,64.16
10218,39.58
10231,65.89
10233,49.03
10234,46.24
10240,29.52
10243,72.19
10264,83.96
10286,54.71
10289,63.99
10294,63.71
10299,69.83
10302,47.77
10306,54.32
10310,42.43
10317,64.11
10322,63.27
10323,64.54
10324,80.29
10327,70.2
10329,63.96
10336,46.35
10337,37.71
10339,69.87
10340,44.14
10346,72.68
10347,58.8
10348,74.18
10349,71.03
10354,38.13
10386,50.64
10390,48.67
10416,64.43
10430,59.77
10441,59.6
10459,66.06
10466,49.26
10472,48.49
10473,81.7
1050,66.06
10533,41.68
10542,73.05
10547,33.0
10556,61.41
10585,47.78
10593,66.43
10606,45.94
10607,58.24
10619,64.37
1062,39.67
10620,36.13
10622,74.15
10642,68.42
10655,57.28
10681,68.11
10688,53.8
10698,57.38
10700,58.74
10711,54.38
10745,44.95
10762,78.48
10767,65.08
10770,48.22
10803,50.67
10807,64.38
10815,73.43
10816,79.07
10822,69.05
10838,55.32
10839,65.32
10847,85.66
10882,54.07
109,57.32
10937,60.57
10950,67.31
10951,57.89
10953,59.29
10961,60.6
10962,45.16
11003,72.12
11038,70.64
11133,34.26
11137,44.1
11145,69.76
11146,58.02
11147,70.2
11155,54.35
11157,38.62
11165,90.25
11166,59.13
11167,75.64
11173,88.05
11176,43.36
1118,43.32
11192,63.43
11200,70.13
11204,53.68
11205,75.94
11209,44.26
11241,59.83
11247,59.1
11250,39.42
11251,64.84
11255,60.96
11265,80.92
11270,64.03
11281,62.47
11287,58.02
11294,46.89
113,56.2
11334,44.8
11338,62.9
11339,68.13
11342,66.39
1136,65.15
11366,43.45
11368,73.8
11369,45.33
11376,65.03
11378,43.94
11379,55.97
11381,55.52
11385,55.21
11391,60.41
11400,87.32
11402,54.69
11426,42.86
11437,42.08
11442,78.87
11445,67.56
11446,66.5
11464,60.7
11467,48.44
11468,41.97
11470,56.28
11471,30.16
11472,64.64
11476,69.39
11477,74.68
11481,57.79
11487,38.12
11489,61.4
11493,94.57
11494,57.57
11562,52.8
11579,81.42
11589,32.32
1159,62.54
11592,43.07
11602,60.9
11608,54.68
11609,77.87
11611,60.72
11615,75.71
11618,49.01
11624,43.7
1165,60.25
11674,40.54
11680,68.72
11682,45.46
11694,46.77
11712,45.85
11713,49.99
11737,83.18
11738,63.02
11739,76.71
11743,48.03
11746,72.18
11754,39.66
11761,56.0
11762,48.28
11763,63.65
11773,65.67
11846,74.44
11850,60.57
11854,57.41
11859,70.59
11863,46.91
11875,62.75
11894,60.84
11899,72.52
11902,74.08
11905,55.55
1191,61.31
11935,59.0
11936,75.81
11982,63.17
11997,71.61
12005,64.17
12027,22.71
12037,59.27
12042,51.01
12049,31.5
12090,52.87
12092,55.44
12101,68.08
12110,45.33
12118,38.12
12119,63.19
12138,70.99
12140,52.92
12144,85.11
12147,64.8
12148,58.48
12155,73.86
12158,72.83
12160,66.58
12161,88.59
12164,71.39
12174,65.23
12179,85.25
12180,45.99
12181,66.12
12182,41.02
12198,58.34
12214,64.69
12225,67.17
12235,50.0
12244,64.95
12268,43.66
12282,93.65
12284,66.45
12294,66.73
12321,39.9
12323,48.81
12325,68.72
12371,80.28
12384,47.86
12394,67.84
12399,69.36
12409,68.25
12434,72.88
1246,55.13
1247,39.74
12490,60.58
12495,66.88
12508,67.74
12510,72.71
12532,83.64
12533,81.85
12537,49.26
12545,41.34
12546,70.13
12547,58.55
12552,75.69
12555,46.85
12564,71.41
12575,48.92
12580,48.99
12590,61.95
12594,62.97
12606,65.48
12649,71.57
12677,73.43
12699,34.79
12701,62.27
12703,43.61
12718,48.83
12719,44.68
12723,60.0
12751,56.3
12758,67.29
12760,36.46
12774,46.9
12775,76.94
12778,42.75
12779,66.82
12781,52.78
12782,70.38
12784,44.63
12791,43.41
12797,61.87
12801,40.84
12804,45.87
12856,70.36
12858,51.6
12859,61.45
12861,80.53
12905,27.43
12907,83.95
12916,83.35
12918,38.32
12926,71.92
12927,65.88
12937,70.86
12938,42.53
12944,59.71
12950,66.73
12956,50.93
12957,56.75
12972,48.27
12976,83.15
12977,58.97
12979,73.31
12981,65.61
12983,71.97
12984,65.81
12988,40.62
12990,47.94
13005,51.04
13006,51.68
13012,59.74
13050,36.82
13066,63.94
13119,38.05
13130,58.84
13132,63.72
13145,80.86
13151,54.19
13152,83.18
13153,67.75
13154,70.85
13157,64.03
13166,45.78
13167,59.37
13176,61.6
13180,65.92
13182,40.04
13185,70.0
13188,43.39
13190,45.04
13218,43.38
13228,47.62
13254,64.24
13265,64.17
13267,56.03
13269,59.3
13271,60.37
13273,46.61
13277,66.07
13284,61.59
13288,65.76
13300,66.43
13301,62.2
13324,72.81
13325,56.93
13329,74.87
1333,50.75
13338,62.42
13339,44.98
13345,50.35
13346,47.72
13355,59.8
13356,41.37
13359,62.32
13361,48.8
13367,71.4
13369,61.29
13408,68.74
13414,68.89
13419,62.61
13435,40.95
13443,70.82
13444,66.38
13453,44.93
13470,44.14
13472,67.33
13473,64.61
13485,59.62
13490,51.55
13499,53.38
13510,89.75
13528,41.97
13546,58.43
13590,78.15
13593,80.77
13594,35.02
13595,58.86
13602,52.81
13607,43.88
13608,57.25
13611,96.54
13613,78.58
13620,75.0
13621,67.19
13624,89.44
13633,70.1
13649,26.6
13654,44.28
13658,46.99
13663,46.23
13675,67.36
13677,44.05
13684,49.88
13690,40.7
13696,47.06
13718,61.58
13723,55.23
13743,48.66
13744,51.39
13750,49.79
13755,62.99
13757,68.62
13761,48.99
13762,46.11
13768,64.23
13769,60.92
13770,70.16
13774,51.58
13781,44.59
13788,61.19
13795,53.2
13796,40.54
13804,32.84
13807,72.98
13809,65.95
13821,50.43
13836,75.4
13849,51.53
13853,70.37
13854,55.97
13862,70.85
13866,53.52
13877,64.49
13891,65.59
13895,61.98
13896,46.44
13897,71.79
13905,58.53
13906,63.64
13910,64.33
13942,44.72
14078,47.12
14103,61.05
14106,89.58
14109,81.13
14111,54.84
14113,63.01
14128,60.14
14130,66.95
14131,83.52
14137,63.25
14140,60.64
14145,68.41
14158,61.97
14161,57.81
14162,51.85
14165,45.17
14196,56.06
14212,40.68
14221,46.98
14225,76.39
14267,52.24
14274,70.38
14282,68.61
14295,38.0
14320,63.88
14329,47.71
1433,79.42
14330,60.38
14332,34.97
14335,59.82
14338,51.7
14344,67.58
14350,66.06
14352,69.18
14361,37.07
14366,58.9
14371,40.09
14374,37.73
14375,38.44
14382,46.57
14387,72.86
14388,59.92
14412,53.73
14420,39.84
14453,59.8
14457,32.45
14477,59.69
14503,63.27
14509,51.09
14515,59.79
14523,61.16
14527,41.27
14528,59.88
14545,44.57
14548,59.01
14551,64.26
14552,48.44
14553,56.83
14555,64.08
14556,58.99
14558,56.14
14566,72.08
14567,41.82
14593,67.45
14636,59.31
14646,39.83
14677,39.53
14678,65.61
14691,58.96
14697,43.04
14706,26.46
14712,83.55
14713,66.24
14735,49.46
14738,63.96
14739,48.76
14764,44.43
14765,48.68
14773,59.39
14811,63.06
14812,41.36
14813,64.19
14818,48.23
1483,50.81
14843,46.83
14854,62.41
14876,54.56
14885,61.17
14894,69.39
14897,53.02
14914,36.03
14916,40.19
14932,43.41
14934,47.28
14936,61.91
14938,58.29
14942,61.34
14950,73.55
14962,50.47
14968,73.49
14973,52.15
14975,48.53
14993,38.55
15015,48.62
15036,46.86
15038,41.88
15047,38.13
15048,62.71
15055,56.7
15068,43.84
15082,55.49
15094,49.53
15103,40.81
15104,61.58
15112,74.36
15115,45.31
15117,54.68
15119,61.92
15124,72.71
15130,47.87
15149,69.28
15156,59.37
15158,37.31
15161,68.44
15166,46.33
15170,72.85
15172,63.18
15179,40.79
15181,60.0
15189,57.19
15191,61.01
15194,66.81
15197,68.64
15207,55.69
15214,50.07
15223,76.26
15232,38.94
15258,46.82
15271,58.31
15274,67.08
15279,63.72
15291,51.96
15343,75.14
15351,61.84
15362,75.1
15402,64.03
15407,65.91
15423,39.81
15429,80.45
15447,69.32
15450,66.25
15451,41.12
15454,50.31
15463,36.98
15464,65.12
15467,47.46
15481,51.5
15482,52.97
15487,69.49
15488,51.57
15490,60.38
15491,56.87
15496,58.47
15504,70.71
15518,83.58
15519,60.19
15524,38.19
15535,58.0
15564,74.14
15580,57.9
15585,73.86
15605,41.77
15608,80.75
15639,48.61
15640,61.38
15644,50.43
15653,69.53
15654,67.43
15655,51.97
15672,81.42
15674,58.37
15679,71.27
15689,46.9
15694,61.27
15697,50.73
15711,63.78
15722,63.3
15730,56.24
15734,38.81
15766,65.39
15767,66.48
15769,62.15
15794,70.61
15808,63.31
15809,34.1
1581,68.07
15817,57.53
15821,47.11
15830,34.12
15878,86.19
15905,70.21
15937,67.23
15941,57.21
15958,56.16
15964,35.07
15971,71.0
15982,62.58
15983,64.25
15986,70.13
15988,59.36
15994,58.12
15998,87.96
16041,50.82
16042,65.83
16098,54.4
16110,46.37
16115,59.29
16125,41.44
16149,52.05
16153,66.84
16162,43.47
16165,44.32
16192,61.77
16211,61.24
16219,61.5
16221,52.38
16246,62.37
16252,67.35
16256,42.27
16263,57.79
16265,34.18
16271,60.18
16285,51.59
16291,55.79
16300,35.13
16313,59.76
16317,40.26
16318,39.42
16337,64.46
16357,68.91
16358,38.68
16375,58.58
16376,86.87
16377,49.7
16398,61.5
16400,48.52
16403,80.18
16404,74.2
16411,59.89
16417,62.37
16424,74.42
16426,59.68
16429,67.5
16434,61.21
16442,52.89
16446,60.95
16448,45.2
16451,65.43
16468,28.79
16472,77.15
16478,80.22
16496,62.21
16505,58.39
16512,58.48
16524,62.95
16530,73.33
16532,40.93
16535,84.24
16542,60.1
16556,90.24
16561,47.53
16565,63.07
16572,43.42
16578,66.85
16593,73.08
16622,77.43
16623,67.82
16680,59.96
16686,57.37
16725,65.42
16727,49.31
16729,58.7
16839,60.71
16852,69.56
16885,68.55
16909,61.08
16918,45.33
16925,56.49
16929,50.85
16930,65.71
16933,41.79
16939,63.58
16942,37.08
16943,37.52
16947,51.5
16953,64.1
16959,57.68
16977,37.54
16981,34.32
16997,87.31
17005,68.13
17018,43.17
17022,66.2
17023,63.42
17027,85.45
17040,57.04
17062,59.57
17075,77.97
17085,43.47
17098,57.27
17109,46.88
17128,63.95
17161,62.69
17171,47.42
17181,39.69
17216,46.84
17232,65.77
17237,43.76
17264,38.14
17273,49.51
17276,50.73
17278,58.39
17292,43.19
173,62.05
17307,61.37
17313,48.24
17321,68.61
17326,60.14
17338,73.58
17350,93.98
17359,43.84
17381,37.84
17423,74.47
17425,45.87
17432,32.55
17452,49.28
17468,56.24
17473,57.96
17478,61.64
17479,46.65
17484,45.97
17490,41.26
17505,47.43
17548,66.59
17578,37.47
17583,46.81
17585,45.78
17588,53.77
17594,43.73
17611,46.83
17620,60.22
17642,61.34
17678,90.15
17684,62.88
17689,64.51
17696,72.26
17701,38.14
17710,72.5
17714,64.74
17719,48.57
17723,54.86
17736,60.87
17737,58.38
17738,53.79
17750,66.78
17766,65.44
17806,66.24
17807,57.33
17837,62.48
17838,76.12
17839,47.93
17859,42.49
17861,41.56
17877,44.46
17878,48.97
17893,65.8
17901,97.55
17907,78.95
17910,48.49
17919,55.13
17920,44.42
