MLBAM_ID,Position
110009,P
110010,CF
110011,SS
110012,P
110015,P
110025,CF
110029,RF
110032,P
110067,P
110083,C
110119,1B
110129,SS
110135,3B
110136,2B
110137,C
110165,CF
110177,RF
110183,2B
110184,C
110189,LF
110204,P
110209,P
110214,LF
110215,RF
110229,RF
110230,P
110231,SS
110236,LF
110246,SS
110262,3B
110285,RF
110293,P
110298,P
110312,SS
110313,3B
110319,1B
110325,P
110338,P
110351,P
110353,LF
110358,P
110359,P
110375,1B
110383,SS
110385,C
110394,LF
110397,P
110402,P
110403,P
110411,LF
110419,2B
110427,2B
110429,SS
110432,1B
110441,P
110447,C
110456,DH
110494,1B
110503,P
110515,P
110531,P
110532,1B
110536,P
110554,2B
110559,RF
110576,P
110591,3B
110616,2B
110626,RF
110633,CF
110638,CF
110659,RF
110676,2B
110680,2B
110681,C
110682,3B
110683,P
110686,3B
110692,LF
110693,3B
110712,RF
110713,P
110730,LF
110733,LF
110772,CF
110788,P
110808,CF
110809,P
110811,P
110813,1B
110816,3B
110818,RF
110823,LF
110826,SS
110829,2B
110832,1B
110839,LF
110840,2B
110841,SS
110845,SS
110847,CF
110848,SS
110853,P
110854,P
110860,LF
110862,SS
110870,C
110887,1B
110891,P
110908,1B
110909,P
110918,2B
110928,DH
110937,3B
110939,C
110974,RF
110979,P
110983,CF
110987,2B
110992,C
111034,P
111060,P
111072,C
111080,2B
111090,SS
111114,LF
111116,3B
111145,P
111148,SS
111153,3B
111155,P
111174,1B
111183,P
111188,LF
111191,P
111199,3B
111210,SS
111213,3B
111214,2B
111221,C
111225,3B
111232,C
111234,SS
111250,P
111251,LF
111257,CF
111264,P
111275,P
111277,SS
111285,P
111290,LF
111295,1B
111312,P
111349,LF
111350,C
111357,LF
111366,2B
111369,RF
111371,LF
111394,3B
111396,P
111397,P
111410,1B
111414,RF
111437,3B
111445,1B
111448,P
111469,LF
111472,P
111481,LF
111482,C
111483,2B
111492,P
111493,1B
111496,P
111502,1B
111509,3B
111511,OF
111515,3B
111531,CF
111533,LF
111548,LF
111554,P
111557,CF
111567,C
111574,3B
111606,2B
111611,P
111620,RF
111623,CF
111624,SS
111628,P
111629,RF
111663,1B
111668,3B
111673,CF
111676,RF
111682,LF
111684,P
111685,LF
111692,P
111721,P
111734,P
111736,CF
111742,RF
111789,3B
111792,2B
111795,RF
111812,CF
111820,LF
111822,LF
111838,P
111849,1B
111850,P
111851,SS
111853,2B
111867,2B
111869,RF
111904,CF
111908,3B
111935,P
111946,CF
111947,1B
111948,LF
111951,2B
111954,P
111956,CF
111957,2B
111962,RF
111963,OF
111976,2B
111990,1B
112011,P
112020,P
112028,CF
112030,P
112031,P
112036,1B
112039,RF
112061,C
112064,LF
112065,P
112077,C
112087,1B
112102,3B
112106,3B
112107,C
112109,P
112110,CF
112113,P
112116,2B
112118,RF
112128,SS
112131,LF
112152,SS
112154,2B
112155,RF
112159,C
112173,RF
112213,P
112223,C
112283,1B
112297,3B
112306,P
112316,1B
112320,RF
112326,RF
112330,LF
112332,P
112337,LF
112345,1B
112373,P
112381,SS
112388,P
112419,LF
112424,3B
112436,3B
112457,C
112461,1B
112464,CF
112482,CF
112487,LF
112491,3B
112496,SS
112503,LF
112526,P
112527,SS
112535,P
112552,P
112559,1B
112621,P
112633,P
112634,LF
112635,3B
112641,1B
112654,3B
112659,3B
112664,2B
112680,LF
112681,P
112682,LF
112690,P
112692,P
112698,SS
112715,RF
112724,CF
112736,2B
112752,P
112803,P
112822,LF
112845,LF
112846,SS
112849,1B
112897,SS
112898,SS
112901,RF
112903,CF
112905,1B
112906,P
112937,RF
112940,P
112963,CF
112980,CF
112984,P
113005,C
113026,P
113028,CF
113039,LF
113054,P
113060,P
113062,CF
113072,LF
113074,C
113088,RF
113096,1B
113099,OF
113102,CF
113109,1B
113118,C
113137,3B
113144,LF
113151,RF
113189,C
113197,RF
113213,P
113229,P
113231,C
113232,1B
113234,2B
113240,RF
113243,1B
113247,P
113264,C
113290,P
113291,2B
113296,P
113297,1B
113304,C
113306,CF
113324,CF
113328,2B
113329,SS
113330,C
113331,SS
113333,P
113358,C
113387,SS
113389,P
113391,1B
113452,3B
113472,2B
113481,C
113488,2B
113516,DH
113519,P
113536,LF
113538,P
113554,P
113585,LF
113620,2B
113640,1B
113641,LF
113645,SS
113646,CF
113651,C
113660,2B
113673,RF
113679,RF
113686,CF
113702,2B
113724,RF
113744,CF
113764,2B
113782,P
113786,RF
113793,P
113819,P
113828,SS
113844,C
113845,RF
113876,P
113884,P
113889,CF
113891,1B
113897,SS
113904,SS
113906,CF
113911,C
113915,P
113929,C
113936,RF
113941,3B
113946,CF
113966,C
113997,CF
114006,2B
114007,LF
114014,P
114031,C
114032,P
114048,LF
114053,RF
114070,SS
114073,P
114074,P
114079,SS
114080,P
114106,1B
114113,C
114115,SS
114133,P
114135,CF
114182,C
114197,C
114208,C
114233,C
114239,SS
114250,CF
114260,LF
114284,SS
114291,2B
114296,RF
114309,C
114334,P
114342,P
114353,SS
114356,CF
114376,1B
114385,RF
114392,LF
114410,P
114429,SS
114464,2B
114465,3B
114485,DH
114508,3B
114513,SS
114519,1B
114526,1B
114533,CF
114545,2B
114567,LF
114569,2B
114583,2B
114587,3B
114588,RF
114594,P
114596,SS
114609,2B
114610,P
114628,P
114637,2B
114654,2B
114676,C
114712,C
114739,1B
114740,3B
114752,LF
114768,SS
114770,2B
114788,2B
114789,RF
114792,LF
114831,3B
114833,C
114838,LF
114844,CF
114849,P
114888,C
114909,SS
114911,3B
114922,3B
114924,SS
114928,P
114931,CF
114932,RF
114935,LF
114947,P
114957,CF
114961,CF
115000,P
115007,1B
115008,P
115017,2B
115035,P
115056,P
115078,2B
115079,CF
115086,SS
115094,RF
115095,P
115098,C
115099,P
115103,C
115104,3B
115108,LF
115114,LF
115118,1B
115132,RF
115135,CF
115136,RF
115137,SS
115169,P
115174,CF
115189,P
115190,P
115195,DH
115209,3B
115210,2B
115220,SS
115222,1B
115223,RF
115224,2B
115227,SS
115229,RF
115230,SS
115237,3B
115242,P
115263,SS
115266,P
115267,P
115270,RF
115271,LF
115320,3B
115330,2B
115346,LF
115348,LF
115370,SS
115376,DH
115378,CF
115382,3B
115383,P
115390,P
115391,P
115394,RF
115399,P
115415,P
115417,2B
115436,3B
115438,2B
115446,P
115459,2B
115467,LF
115476,P
115487,P
115488,C
115519,CF
115522,P
115529,3B
115566,P
115587,C
115594,C
115601,LF
115602,LF
115608,1B
115640,3B
115646,RF
115649,P
115676,C
115683,P
115691,RF
115692,C
115725,C
115727,P
115732,1B
115737,C
115744,CF
115749,LF
115783,P
115797,P
115804,P
115812,P
115815,C
115816,LF
115817,P
115820,P
115825,SS
115826,1B
115839,2B
115842,RF
115861,P
115883,3B
115884,P
115887,P
115902,CF
115909,C
115915,LF
115933,2B
115935,RF
115941,P
115955,P
115982,P
116000,SS
116057,C
116058,2B
116059,SS
116075,LF
116083,3B
116100,P
116108,P
116137,P
116152,DH
116165,CF
116166,RF
116176,P
116190,CF
116191,3B
116199,C
116201,SS
116211,2B
116214,RF
116215,LF
116225,3B
116227,P
116230,CF
116234,RF
116243,1B
116247,C
116248,LF
116258,2B
116271,LF
116300,3B
116302,CF
116310,LF
116316,C
116326,CF
116327,1B
116336,P
116338,CF
116350,P
116353,RF
116357,RF
116358,SS
116373,P
116377,1B
116380,LF
116386,LF
116387,3B
116391,2B
116393,LF
116400,P
116414,P
116423,2B
116424,P
116426,CF
116446,LF
116461,3B
116463,P
116468,1B
116476,LF
116477,LF
116496,P
116506,CF
116513,1B
116515,DH
116516,CF
116518,LF
116521,SS
116529,LF
116530,RF
116534,C
116539,SS
116541,RF
116566,C
116569,C
116586,2B
116593,3B
116603,CF
116610,1B
116611,P
116615,P
116634,1B
116641,3B
116662,CF
116671,RF
116680,CF
116694,P
116706,3B
116717,P
116718,P
116721,RF
116730,CF
116735,LF
116740,SS
116747,RF
116752,3B
116756,1B
116767,3B
116768,RF
116780,1B
116785,P
116798,RF
116843,C
116845,P
116852,1B
116954,LF
116955,2B
116959,CF
116974,C
116989,C
116999,2B
117025,SS
117044,P
117046,P
117081,3B
117090,CF
117094,CF
117114,RF
117132,LF
117148,1B
117175,C
117184,P
117197,2B
117203,C
117228,2B
117243,RF
117244,1B
117271,CF
117276,CF
117281,RF
117309,C
117316,C
117332,P
117339,1B
117364,SS
117376,CF
117395,P
117408,1B
117418,C
117420,C
117442,C
117444,P
117457,LF
117480,P
117484,CF
117488,3B
117491,2B
117500,P
117501,SS
117503,1B
117526,LF
117543,C
117551,3B
117554,2B
117566,LF
117580,1B
117597,SS
117600,LF
117601,1B
117607,SS
117613,1B
117628,P
117643,P
117652,P
117653,P
117657,3B
117668,2B
117669,CF
117676,LF
117691,LF
117693,LF
117708,LF
117710,P
117724,C
117731,CF
117740,2B
117747,C
117756,P
117758,P
117759,C
117767,P
117769,P
117775,2B
117781,RF
117809,P
117810,2B
117815,SS
117828,2B
117837,3B
117842,P
117854,2B
117863,CF
117899,RF
117903,LF
117913,P
117919,C
117921,C
117922,SS
117928,2B
117929,P
117950,2B
117955,P
117957,P
117961,CF
117988,P
117995,LF
118013,RF
118024,C
118025,LF
118040,CF
118045,C
118053,CF
118063,DH
118065,LF
118073,C
118079,C
118088,LF
118090,LF
118101,LF
118120,P
118121,P
118130,P
118132,3B
118136,CF
118146,P
118158,P
118162,P
118163,P
118184,1B
118187,RF
118190,RF
118240,C
118251,2B
118259,3B
118267,C
118274,P
118305,C
118306,1B
118312,LF
118319,RF
118329,LF
118348,2B
118359,C
118360,1B
118361,LF
118362,1B
118363,RF
118364,1B
118365,DH
118366,SS
118371,P
118373,CF
118377,P
118378,P
118379,RF
118389,C
118391,CF
118402,P
118407,1B
118414,C
118417,P
118420,P
118429,2B
118443,1B
118458,1B
118469,P
118471,LF
118490,C
118560,1B
118574,P
118576,LF
118609,CF
118626,LF
118627,CF
118638,CF
118657,CF
118660,P
118694,CF
118712,C
118730,1B
118731,C
118736,1B
118743,1B
118756,C
118771,C
118786,1B
118808,2B
118831,LF
118844,C
118853,CF
118871,CF
118875,LF
118891,LF
118897,SS
118901,DH
118924,CF
118925,2B
118931,P
118942,C
118943,LF
118950,P
118957,C
118958,RF
118959,C
118960,P
118961,RF
118967,P
118985,C
119004,LF
119023,P
119038,RF
119064,C
119090,2B
119101,SS
119133,SS
119134,2B
119138,1B
119154,P
119163,P
119175,P
119182,C
119194,LF
119195,LF
119211,P
119215,P
119234,C
119236,DH
119247,RF
119268,RF
119309,CF
119318,CF
119347,2B
119348,3B
119374,P
119388,1B
119398,RF
119403,P
119406,1B
119432,CF
119437,CF
119442,C
119451,2B
119452,2B
119456,RF
119463,LF
119464,RF
119469,P
119482,3B
119488,P
119506,3B
119523,2B
119527,RF
119528,P
119545,CF
119579,1B
119582,RF
119583,P
119608,P
119616,C
119626,P
119628,CF
119632,P
119634,3B
119663,C
119667,P
119669,SS
119673,P
119682,DH
119689,P
119732,3B
119737,LF
119743,2B
119752,RF
119760,C
119780,P
119796,C
119798,RF
119804,C
119809,P
119811,RF
119812,CF
119813,CF
119817,2B
119820,C
119826,P
119827,P
119839,RF
119853,3B
119865,3B
119867,P
119869,RF
119882,RF
119884,3B
119889,C
119903,1B
119913,RF
119946,2B
119948,SS
119952,P
119958,C
119963,P
119964,P
119967,CF
119975,LF
119976,1B
119979,3B
119982,P
119984,P
119987,C
119991,P
120003,C
120009,3B
120028,RF
120038,2B
120042,SS
120044,RF
120045,SS
120047,3B
120068,RF
120073,C
120074,DH
120075,LF
120077,3B
120080,C
120085,P
120092,C
120109,CF
120123,P
120138,SS
120139,C
120140,RF
120178,3B
120179,C
120183,P
120184,C
120185,P
120190,LF
120191,1B
120194,3B
120202,P
120212,C
120214,3B
120216,2B
120218,C
120221,P
120225,RF
120233,LF
120238,C
120245,P
120247,P
120248,C
120272,LF
120292,2B
120297,P
120345,3B
120348,C
120357,CF
120358,LF
120363,RF
120367,RF
120370,C
120371,2B
120381,3B
120382,DH
120387,CF
120405,P
120407,C
120408,1B
120413,SS
120415,LF
120416,2B
120418,SS
120439,1B
120440,3B
120447,P
120451,1B
120454,P
120463,P
120472,P
120474,C
120481,CF
120485,P
120508,DH
120514,1B
120522,2B
120536,C
120551,P
120597,1B
120618,LF
120648,SS
120651,SS
120658,LF
120690,P
120691,C
120693,LF
120710,LF
120720,CF
120739,3B
120747,C
120755,3B
120766,LF
120771,C
120774,1B
120790,CF
120793,P
120795,RF
120801,LF
120802,P
120815,2B
120824,P
120838,3B
120850,3B
120852,1B
120857,C
120859,3B
120891,LF
120903,LF
120907,SS
120908,SS
120911,C
120912,LF
120916,CF
120922,3B
120927,2B
120933,P
120936,P
120954,2B
120967,2B
120975,2B
120982,3B
120988,LF
120990,RF
120993,C
120995,2B
120999,P
121002,P
121009,2B
121040,LF
121057,P
121058,SS
121060,P
121074,SS
121075,2B
121089,P
121096,P
121097,C
121108,2B
121110,P
121112,RF
121113,C
121117,P
121129,CF
121157,SS
121196,RF
121199,2B
121201,P
121206,P
121208,SS
121222,SS
121223,2B
121234,P
121244,P
121245,P
121248,SS
121252,CF
121258,P
121270,RF
121280,2B
121292,1B
121298,1B
121308,P
121315,P
121316,P
121321,P
121347,SS
121349,SS
121357,LF
121358,C
121360,SS
121366,2B
121380,P
121386,P
121396,2B
121401,DH
121404,P
121409,3B
121422,C
121423,SS
121425,RF
121430,C
121437,LF
121441,P
121450,P
121453,3B
121455,2B
121482,P
121486,SS
121512,C
121519,3B
121539,P
121541,P
121545,P
121556,P
121571,C
121583,LF
121604,P
121606,3B
121616,1B
121619,P
121621,RF
121628,C
121630,3B
121635,P
121640,RF
121648,P
121651,2B
121663,SS
121665,2B
121668,OF
121673,RF
121676,P
121678,P
121685,P
121691,SS
121692,CF
121693,C
121700,C
121705,C
121711,P
121713,2B
121732,2B
121743,P
121752,2B
121758,SS
121767,1B
121811,P
121814,P
121834,P
121854,SS
121860,P
121869,C
121872,3B
121896,RF
121919,C
121928,C
121931,3B
121941,P
121951,P
121974,LF
121977,1B
121983,3B
121985,3B
121986,P
121997,P
122007,P
122011,C
122027,1B
122066,3B
122071,SS
122079,P
122094,C
122109,SS
122110,DH
122111,RF
122112,CF
122115,3B
122120,OF
122133,OF
122137,CF
122152,3B
122165,3B
122197,P
122205,2B
122208,C
122218,RF
122231,P
122236,3B
122248,RF
122251,1B
122265,C
122270,OF
122298,C
122317,C
122342,P
122358,P
122368,P
122398,2B
122416,LF
122430,LF
122432,LF
122439,SS
122443,P
122473,P
122477,P
122494,3B
122497,1B
122509,RF
122511,P
122519,P
122522,2B
122541,1B
122544,RF
122562,P
122572,C
122593,SS
122596,1B
122612,3B
122618,P
122620,P
122621,3B
122641,1B
122644,RF
122665,2B
122673,C
122686,DH
122696,1B
122722,C
122744,C
122751,P
122756,1B
122765,1B
122771,LF
122784,LF
122796,SS
122803,C
122811,SS
122840,P
122857,3B
122864,OF
122899,1B
122904,P
122918,3B
122929,2B
122975,P
122987,P
122989,LF
122996,P
123003,C
123009,1B
123010,P
123011,SS
123040,LF
123041,1B
123053,P
123057,P
123072,1B
123075,C
123084,P
123090,P
123094,LF
123096,OF
123107,3B
123109,3B
123113,C
123117,OF
123118,P
123147,P
123173,SS
123176,P
123177,P
123178,P
123182,SS
123194,P
123201,P
123211,C
123212,2B
123213,P
123235,SS
123245,DH
